rank,Youtuber,subscribers,video views,video count,category,started
252,Captain Joe,"1,690,000","229,915,346",411,Science & Technology,2014
253,BILD,"1,690,000","3,128,661,951","31,456",News & Politics,2014
254,El Margo,"1,690,000","642,775,186","2,569",Entertainment,2012
255,SlivkiShow DE,"1,680,000","418,318,087",437,Entertainment,2015
256,Moonbug Kids - Deutsch,"1,680,000","563,681,574","1,474",Entertainment,2017
257,leckere Küche,"1,670,000","353,642,996",577,People & Blogs,2020
258,Team Paluten,"1,670,000","875,969,512","2,768",Gaming,2014
259,Tokio Hotel,"1,670,000","643,874,687",505,Music,2007
260,Finnel,"1,660,000","1,337,672,585",612,People & Blogs,2016
261,Vành Khuyên Lê,"1,660,000","572,290,272","1,162",Howto & Style,2016
262,Sensual Musique,"1,660,000","1,112,975,761","2,281",Music,2014
263,Paul van Dyk,"1,660,000","707,436,038","1,091",Entertainment,2006
264,ABO3OMAR_FF,"1,650,000","107,492,820",177,Gaming,2023
265,Maruska 58,"1,650,000","3,075,083,912","2,504",Entertainment,2021
266,Sky Sport DE,"1,640,000","796,436,776","8,092",Sports,2009
267,صنايعية و حرفيين,"1,640,000","400,891,516","2,977",News & Politics,2019
268,ZDF heute-show,"1,640,000","1,137,470,882","1,855",Comedy,2016
269,Grjngo - Western Movies,"1,640,000","682,858,835",787,Film & Animation,2017
270,Fun4Two,"1,630,000","647,619,721",132,People & Blogs,2024
271,RC LIVE ACTION,"1,630,000","869,650,031","3,443",Entertainment,2007
272,Rezo ja lol ey,"1,630,000","400,182,031",168,People & Blogs,2018
273,GKAY,"1,620,000","72,813,578",343,People & Blogs,2013
274,Farina Jo,"1,610,000","451,243,312",437,Entertainment,2016
275,TEAM KUKU,"1,610,000","644,607,089",89,Music,2016
276,Troopa Deluxe,"1,610,000","1,512,203,369","2,915",Film & Animation,2020
277,Leckerer Kanal,"1,610,000","290,482,013",567,People & Blogs,2021
278,Sabine Hossenfelder,"1,610,000","248,750,381",767,Science & Technology,2007
279,Netzkino,"1,600,000","290,538,255","2,695",Film & Animation,2010
280,5-MINUTEN-TRICKS,"1,600,000","487,864,289","6,415",Howto & Style,2017
281,latteartcity,"1,600,000","1,909,628,285",662,Howto & Style,2014
282,TopZehn,"1,590,000","492,678,736",644,Education,2012
283,Varion,"1,590,000","506,253,244",767,Comedy,2014
284,RonnyKL7,"1,580,000","1,134,685,851",772,People & Blogs,2014
285,LiDiRo,"1,580,000","560,540,199",441,Film & Animation,2015
286,ASMR Miss Mi,"1,580,000","729,900,169","1,509",Entertainment,2019
287,Domtendo,"1,570,000","2,587,630,226","11,694",Gaming,2007
288,5 Minuten Tricks SPIEL,"1,560,000","940,201,072","6,275",People & Blogs,2018
289,Kids Tv Deutschland - Deutsch Kinderlieder,"1,560,000","902,310,393","1,865",People & Blogs,2014
290,Klinik am Südring,"1,560,000","1,412,100,709","5,331",Entertainment,2017
291,GameStar,"1,550,000","1,480,241,183","10,180",Gaming,2009
292,coldmirror,"1,540,000","489,512,591",488,Comedy,2006
293,لاعبين نجوم,"1,540,000","135,976,794",69,People & Blogs,2024
294,GRIP - Das Motormagazin,"1,540,000","979,625,256","1,134",Autos & Vehicles,2013
295,DOKTOR LIGHT,"1,520,000","337,972,886","1,063",Entertainment,2019
296,Olgas Küche,"1,520,000","559,238,846",460,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
297,WiederDude Tutorials,"1,510,000","190,669,093",144,Gaming,2010
298,SONNENSEITE,"1,510,000","649,472,441","8,847",People & Blogs,2017
299,Sami Slimani,"1,510,000","86,134,962",184,Howto & Style,2009
300,Evil Toons,"1,510,000","64,177,111",182,Entertainment,2024
301,Familie Hauser,"1,500,000","2,381,078,884",959,Film & Animation,2015
302,Dolly and Friends - Family Cartoon,"1,490,000","417,422,178",718,People & Blogs,2016
303,Kontra K,"1,490,000","1,166,715,008",190,Entertainment,2014
304,Danny Jesden,"1,490,000","1,029,340,930","4,450",Gaming,2013
305,Samra,"1,480,000","1,027,847,458",98,Music,2019
306,MAITHINK X,"1,480,000","147,854,852",203,People & Blogs,2016
307,Mercedes-AMG Petronas Formula One Team,"1,480,000","528,992,387","2,140",Sports,2011
308,MAX,"1,480,000","424,015,537","1,166",Entertainment,2013
309,RedSama,"1,480,000","490,743",1,Gaming,2014
